personId	roleId
Director	ArtDirectors
Employee	AccountCollectors
Employee	Actors
Employee	Actuaries
Employee	Acupuncturists
Employee	AcuteCareNurses
Employee	AdaptedPhysicalEducationSpecialists
Employee	Adjusters
Employee	AdministrativeAssistants
Employee	AdministrativeSupportWorkersAllOther
Employee	AdvancedPracticePsychiatricNurses
Employee	AdvertisingSalesAgents
Employee	Advisors
Employee	AerospaceEngineers
Employee	AgriculturalEngineers
Employee	AgriculturalEquipmentOperators
Employee	AgriculturalInspectors
Employee	AgriculturalSciencesTeachersPostsecondary
Employee	AgriculturalTechnicians
Employee	AgriculturalWorkersAllOther
Employee	AircraftServiceAttendants
Employee	AirCrewMembers
Employee	AirCrewOfficers
Employee	AirfieldOperationsSpecialists
Employee	AirTrafficControllers
Employee	Ambulance
Employee	Analysts
Employee	AnesthesiologistAssistants
Employee	Anesthesiologists
Employee	AnimalBreeders
Employee	AnimalCaretakers
Employee	AnimalControlWorkers
Employee	AnimalScientists
Employee	AnimalTrainers
Employee	Animators
Employee	AnsweringService
Employee	ApparelPatternmakers
Employee	ApplicatorsVegetation
Employee	AquaculturalAnimals
Employee	Archeologists
Employee	ArcheologyTeachersPostsecondary
Employee	ArchitectureTeachersPostsecondary
Employee	Archivists
Employee	ArmoredAssaultVehicleCrewMembers
Employee	ArmoredAssaultVehicleOfficers
Employee	ArtTherapists
Employee	Assessors
Employee	AssessorsOfRealEstate
Employee	Astronomers
Employee	AthleticTrainers
Employee	Audiologists
Employee	AuditingClerks
Employee	Auditors
Employee	Authors
Employee	AutomotiveEngineeringTechnicians
Employee	AutomotiveEngineers
Employee	Aviation
Employee	AviationInspectors
Employee	AvionicsTechnicians
Employee	Bailiffs
Employee	Bakers
Employee	Barbers
Employee	Baristas
Employee	BartenderHelpers
Employee	Bartenders
Employee	BehavioralDisorderCounselors
Employee	Bellhops
Employee	BenchCarpenters
Employee	BicycleRepairers
Employee	BiofuelsProcessingTechnicians
Employee	BioinformaticsScientists
Employee	BioinformaticsTechnicians
Employee	BiologicalScienceTeachersPostsecondary
Employee	BiologicalScientistsAllOther
Employee	BiologicalTechnicians
Employee	Biologists
Employee	BiomassPlantTechnicians
Employee	BiomedicalEngineers
Employee	Biophysicists
Employee	Biostatisticians
Employee	Blasters
Employee	BlockchainEngineers
Employee	Blockmasons
Employee	Boilermakers
Employee	BoilerOperators
Employee	BoothCashiers
Employee	BorderProtectionOfficers
Employee	Brazers
Employee	Brickmasons
Employee	BroadcastTechnicians
Employee	BrokerageClerks
Employee	BudgetAnalysts
Manager	AdministrativeServicesManagers
Manager	AdministrativeSupportWorkers
Manager	AircraftCargoHandlingSupervisors
Manager	Athletes
Manager	BenefitsManagers
Manager	BiofuelsProductionManagers
Manager	BiomassPowerPlantManagers
