ns	from	to	predicate	reverse
education.org.ai	https://education.org/CareerCluster/AdvancedManufacturing	https://education.org/SubCluster/Engineering	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/AdvancedManufacturing	https://education.org/SubCluster/IndustrialMachinery	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/AdvancedManufacturing	https://education.org/SubCluster/Production&Automation	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/AdvancedManufacturing	https://education.org/SubCluster/Robotics	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/AdvancedManufacturing	https://education.org/SubCluster/Safety&QualityAssurance	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/Agriculture	https://education.org/SubCluster/Agribusiness	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/Agriculture	https://education.org/SubCluster/AgriculturalTechnology&Automation	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/Agriculture	https://education.org/SubCluster/AnimalSystems	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/Agriculture	https://education.org/SubCluster/FoodScience&Processing	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/Agriculture	https://education.org/SubCluster/PlantSystems	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/Agriculture	https://education.org/SubCluster/WaterSystems	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/ArtsEntertainmentDesign	https://education.org/SubCluster/Design&DigitalArts	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/ArtsEntertainmentDesign	https://education.org/SubCluster/Fashion&Interiors	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/ArtsEntertainmentDesign	https://education.org/SubCluster/FineArts	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/ArtsEntertainmentDesign	https://education.org/SubCluster/Lighting&SoundTechnology	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/ArtsEntertainmentDesign	https://education.org/SubCluster/MediaProduction&Broadcasting	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/ArtsEntertainmentDesign	https://education.org/SubCluster/PerformingArts	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/Construction	https://education.org/SubCluster/Architecture&CivilEngineering	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/Construction	https://education.org/SubCluster/ConstructionPlanning&Development	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/Construction	https://education.org/SubCluster/EquipmentOperation&Maintenance	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/Construction	https://education.org/SubCluster/SkilledTrades	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/DigitalTechnology	https://education.org/SubCluster/DataScience&Ai	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/DigitalTechnology	https://education.org/SubCluster/ItSupport&Services	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/DigitalTechnology	https://education.org/SubCluster/NetworkSystems&Cybersecurity	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/DigitalTechnology	https://education.org/SubCluster/SoftwareSolutions	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/DigitalTechnology	https://education.org/SubCluster/Web&Cloud	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/Education	https://education.org/SubCluster/EarlyChildhoodDevelopment	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/Education	https://education.org/SubCluster/EducationAdministration&Leadership	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/Education	https://education.org/SubCluster/LearnerSupport&CommunityEngagement	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/Education	https://education.org/SubCluster/Teaching,Training,&Facilitation	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/EnergyNaturalResources	https://education.org/SubCluster/Clean&AlternativeEnergy	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/EnergyNaturalResources	https://education.org/SubCluster/Conservation&LandManagement	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/EnergyNaturalResources	https://education.org/SubCluster/EcologicalResearch&Development	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/EnergyNaturalResources	https://education.org/SubCluster/EnvironmentalProtection	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/EnergyNaturalResources	https://education.org/SubCluster/ResourceExtraction	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/EnergyNaturalResources	https://education.org/SubCluster/Utilities	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/FinancialServices	https://education.org/SubCluster/Accounting	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/FinancialServices	https://education.org/SubCluster/Banking&Credit	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/FinancialServices	https://education.org/SubCluster/FinancialStrategy&Investments	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/FinancialServices	https://education.org/SubCluster/Insurance	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/FinancialServices	https://education.org/SubCluster/RealEstate	hasPart	partOf
education.org.ai	https://education.org/CareerCluster/HealthcareHumanServices	https://education.org/SubCluster/Behavioral&MentalHealth	hasPart	partOf
