url	ns	type	id	code	name	description
https://knowledge.org.ai/AdministrationAndManagement	knowledge.org.ai	Knowledge	AdministrationAndManagement	2.C.1.a	Administration and Management
https://knowledge.org.ai/Administrative	knowledge.org.ai	Knowledge	Administrative	2.C.1.b	Administrative
https://knowledge.org.ai/EconomicsAndAccounting	knowledge.org.ai	Knowledge	EconomicsAndAccounting	2.C.1.c	Economics and Accounting
https://knowledge.org.ai/SalesAndMarketing	knowledge.org.ai	Knowledge	SalesAndMarketing	2.C.1.d	Sales and Marketing
https://knowledge.org.ai/CustomerAndPersonalService	knowledge.org.ai	Knowledge	CustomerAndPersonalService	2.C.1.e	Customer and Personal Service
https://knowledge.org.ai/PersonnelAndHumanResources	knowledge.org.ai	Knowledge	PersonnelAndHumanResources	2.C.1.f	Personnel and Human Resources
https://knowledge.org.ai/Transportation	knowledge.org.ai	Knowledge	Transportation	2.C.10	Transportation
https://knowledge.org.ai/ProductionAndProcessing	knowledge.org.ai	Knowledge	ProductionAndProcessing	2.C.2.a	Production and Processing
https://knowledge.org.ai/FoodProduction	knowledge.org.ai	Knowledge	FoodProduction	2.C.2.b	Food Production
https://knowledge.org.ai/ComputersAndElectronics	knowledge.org.ai	Knowledge	ComputersAndElectronics	2.C.3.a	Computers and Electronics
https://knowledge.org.ai/EngineeringAndTechnology	knowledge.org.ai	Knowledge	EngineeringAndTechnology	2.C.3.b	Engineering and Technology
https://knowledge.org.ai/Design	knowledge.org.ai	Knowledge	Design	2.C.3.c	Design
https://knowledge.org.ai/BuildingAndConstruction	knowledge.org.ai	Knowledge	BuildingAndConstruction	2.C.3.d	Building and Construction
https://knowledge.org.ai/Mechanical	knowledge.org.ai	Knowledge	Mechanical	2.C.3.e	Mechanical
https://knowledge.org.ai/Mathematics	knowledge.org.ai	Knowledge	Mathematics	2.C.4.a	Mathematics
https://knowledge.org.ai/Physics	knowledge.org.ai	Knowledge	Physics	2.C.4.b	Physics
https://knowledge.org.ai/Chemistry	knowledge.org.ai	Knowledge	Chemistry	2.C.4.c	Chemistry
https://knowledge.org.ai/Biology	knowledge.org.ai	Knowledge	Biology	2.C.4.d	Biology
https://knowledge.org.ai/Psychology	knowledge.org.ai	Knowledge	Psychology	2.C.4.e	Psychology
https://knowledge.org.ai/SociologyAndAnthropology	knowledge.org.ai	Knowledge	SociologyAndAnthropology	2.C.4.f	Sociology and Anthropology
https://knowledge.org.ai/Geography	knowledge.org.ai	Knowledge	Geography	2.C.4.g	Geography
https://knowledge.org.ai/MedicineAndDentistry	knowledge.org.ai	Knowledge	MedicineAndDentistry	2.C.5.a	Medicine and Dentistry
https://knowledge.org.ai/TherapyAndCounseling	knowledge.org.ai	Knowledge	TherapyAndCounseling	2.C.5.b	Therapy and Counseling
https://knowledge.org.ai/EducationAndTraining	knowledge.org.ai	Knowledge	EducationAndTraining	2.C.6	Education and Training
https://knowledge.org.ai/EnglishLanguage	knowledge.org.ai	Knowledge	EnglishLanguage	2.C.7.a	English Language
https://knowledge.org.ai/ForeignLanguage	knowledge.org.ai	Knowledge	ForeignLanguage	2.C.7.b	Foreign Language
https://knowledge.org.ai/FineArts	knowledge.org.ai	Knowledge	FineArts	2.C.7.c	Fine Arts
https://knowledge.org.ai/HistoryAndArcheology	knowledge.org.ai	Knowledge	HistoryAndArcheology	2.C.7.d	History and Archeology
https://knowledge.org.ai/PhilosophyAndTheology	knowledge.org.ai	Knowledge	PhilosophyAndTheology	2.C.7.e	Philosophy and Theology
https://knowledge.org.ai/PublicSafetyAndSecurity	knowledge.org.ai	Knowledge	PublicSafetyAndSecurity	2.C.8.a	Public Safety and Security
https://knowledge.org.ai/LawAndGovernment	knowledge.org.ai	Knowledge	LawAndGovernment	2.C.8.b	Law and Government
https://knowledge.org.ai/Telecommunications	knowledge.org.ai	Knowledge	Telecommunications	2.C.9.a	Telecommunications
https://knowledge.org.ai/CommunicationsAndMedia	knowledge.org.ai	Knowledge	CommunicationsAndMedia	2.C.9.b	Communications and Media
